-59.875,65.281,-85.656,46.969,0.0625
1.5294e-09,1.6692e-09,1.4644e-09,1.4919e-09,1.1192e-09
-0.48401,-0.87179,-0.88417,-0.88899,-0.97589
-2.984e-06,3.3509e-06,-4.5337e-06,2.4196e-06,1.3784e-07
0.0037472,0.0011916,0.0068008,0.0067628,0.0078766
7.8715e-06,3.3546e-06,6.5677e-06,1.1941e-05,1.1863e-05
5153.6,5153.5,5153.7,5153.7,5153.8
2.5198e+05,2.52e+05,2.52e+05,2.52e+05,2.52e+05
-2.2352e-08,-5.0291e-08,-4.4703e-08,-1.2852e-07,7.2643e-08
0.64108,-0.70909,-0.35952,0.96454,-0.0272
1.3039e-07,4.0978e-08,-1.248e-07,-9.127e-08,-6.8918e-08
0.30394,0.30031,0.30513,0.30066,0.31381
224.94,303.63,250.19,142.13,161.28
-0.51669,-0.28071,-0.82533,0.082234,-0.60022
-2.5994e-09,-2.7268e-09,-2.5919e-09,-2.5278e-09,-2.3444e-09
-1.1858e-10,6.9804e-11,-1.4256e-10,4.4793e-11,8.5947e-11
4.6566e-10,2.3283e-09,1.8626e-09,5.1223e-09,-9.3132e-10
2.5198e+05,2.52e+05,2.52e+05,2.52e+05,2.52e+05
0,0,0,0,0
7.9581e-13,1.7053e-12,0,-1.4779e-12,3.1832e-12
3.1536e-05,0.00012004,-2.7334e-07,-1.637e-05,0.00078391
